Well Name,PTN Well Name,Interest,Expire Date,Description,Page,Well Key
TALI #1,,0.08,9/12/2016,PRIMARY DECK,62,tali1
TEBO #1,,0.0759799,7/16/2014,PRIMARY DECK,70,tebo1
TECH 16 STATE #1,,0.0752022,5/31/2018,PRIMARY,43,tech16state1
TECU,,0.0544642,1/1/2001,PRIMARY DECK,2,tecu
TEEL #1,,0.064175,8/1/2013,PRIMARY DECK,65,teel1
TERRELL #1,,0.1,1/2/2008,PRIMARY DECK,66,terrell1
TEXA,,0.08,8/1/2012,PRIMARY DECK,60,texa
THALMANN #1 RE,,0.0343978,3/31/2024,PRIMARY DECK,69,thalmann1re
THOMPSON #1,,0.0399342,3/10/2019,APO PRIMARY DEC,19,thompson1
THOMPSON #2,,0.0378669,3/26/2025,PRIMARY DECK,20,thompson2
THUSS #1,,0.0631995,3/26/2025,PRIMARY,25,thuss1
TLAPEK #1,,0.0399342,3/26/2025,PRIMARY DECK,21,tlapek1
TOM PEAY #1,,0.1,5/1/2022,PRIMARY DECK,7,tompeay1
TOMAHAWK STATE 19 #1,,0.025,5/31/2018,PRIMARY DECK,35,tomahawkstate191
TORT,,0.064175,7/1/2017,PRIMARY DECK,26,tort
TORTUGA A UNIT 4RE,,0.015447,5/7/2018,PRIMARY,74,tortugaa4re
TORTUGA B UNIT #3 RE,,0.0490515,12/27/2023,PRIMARY W ENERG,75,tortugab3re
TORTUGA B UNIT 2RE,,0.0490515,3/26/2025,PRIMARY W ENERG,74,tortugab2re
TORTUGA C UNIT 5,,0.0490515,12/27/2023,PRIMARY W ENERG,74,tortugac5
TORTUGA RANCH #1,,0.0481312,5/14/2014,PRIMARY DECK,26,tortugaranch1
TORTUGA UNIT 1RE,,0.0490515,3/26/2025,PRIMARY W ENERG,74,tortuga1re
TREA,,0.0375,8/2/2004,PRIMARY DECK (4,2,trea
TRIPLE A FEDERAL,,0.0232815,3/26/2025,PRIMARY DECK,33,tripleafederal
TRIPLE J #1,,0.0399342,8/2/2012,APO PRIMARY DEC,20,triplej1
TRIPLE J #2,,0.0399342,3/26/2025,APO PRIMARY DEC,20,triplej2
TRIPLITT #1-H,,0.02567,10/16/2012,PRIMARY DECK,76,triplitt1h
TROTTER #1,,0.05134,3/26/2025,PRIMARY DECK,72,trotter1
TUNI,,0.05267,1/1/2001,PRIMARY DECK,2,tuni
TUNICA PIPELINE,,0.05267,4/30/2007,PRIMARY DECK,2,tunicapipeline
TXLE,,0.084194,12/31/2012,PRIMARY DECK,2,txle
UBERNOSKY #3,,0.06625,1/1/2014,PRIMARY DECK,46,ubernosky3
UNCAS 31 STATE #1,,0.025,7/18/2007,PRIMARY DECK,36,uncas31state1
VANDIVER #1,,0.110625,10/7/2010,PRIMARY DECK,6,vandiver1
VELMA #1,,0.1275,12/31/2016,PRIMARY DECK,4,velma1
VERMILLION #1,,0.0572807,2/28/2022,PRIMARY,24,vermillion1
VERNA #1,,0.064175,5/31/2018,PRIMARY DECK,72,verna1
VILLAFRANCA 1-D,,0.08,11/1/2012,PRIMARY DECK,62,villafranca1d
VRE MINERALS,,0.1073778,3/26/2025,PRIMARY DECK,77,vreminerals
WAGNER FARMS #1,,0.0399342,5/31/2010,APO PRIMARY DEC,19,wagnerfarms1
WAKEFIELD,,0.1665,1/1/2001,PRIMARY DECK,18,wakefield
WAYNE #1,,0.085,9/6/2023,PRIMARY DECK,66,wayne1
WC 35 STATE NO 1,,0.080625,1/1/2019,PRIMARY DECK,54,wc35stateno1
WEIDER #1,,0.0544645,1/1/2001,PRIMARY DECK,44,weider1
WELDER MURPHY #1,,0.085,8/5/2014,PRIMARY DECK,65,weldermurphy1
WENDEL #1,,0.093261,10/1/2010,PRIMARY DECK,47,wendel1
WENDEL RIOUX,,0.093261,11/1/2007,PRIMARY DECK,48,wendelrioux
WEST,,0.0932353,12/31/2018,PRIMARY DECK,13,west
WESTB,,0.064175,8/1/2012,PRIMARY DECK,26,westb
WESTERN STATE #1,,0.1075,12/31/2023,PRIMARY DECK,44,westernstate1
WESTVICT,,0.085,12/1/2007,PRIMARY DECK,65,westvict
WF ODOM UNIT IV #1,,0.0664614,8/24/2006,PRIMARY DECK,11,wfodomiv1
WF ODOM UNIT V,,0.0664614,6/15/2007,PRIMARY DECK,11,wfodomv
WHAR,,0.1,6/30/2011,PRIMARY DECK,46,whar
WHITEHEAD #1,,0.08,10/5/2007,PRIMARY DECK,61,whitehead1
WHITTINGTON #1,,0.0482642,3/26/2025,PRIMARY,24,whittington1
WICKSON #1,,0.078487,3/26/2025,PRIMARY AFTER V,14,wickson1
WILL,,0.05134,12/31/2015,PRIMARY W/CHK,7,will
WILSON HO,,0.103846,5/29/2007,PRIMARY DECK,11,wilsonho
WINTERHAVEN #1 (NO U,,0.064175,8/31/2013,PRIMARY DECK,64,winterhaven1(nou
WINTHROP 24 STATE #1,,0.0624689,10/18/2013,PRIMARY - ACP,40,winthrop24state1
WISE,,0.1075,1/1/2011,PRIMARY DECK,54,wise
WITT,,0.0841307,6/30/2015,PRIMARY DECK AC,64,witt
WITTIG SISTERS #1,,0.0841307,9/29/2013,PRIMARY DECK AC,64,wittigsisters1
WOOD UNIT B 1H,,0.02,3/26/2025,PRIMARY,75,woodb1h
WOODWARD #1,,0.05134,3/20/2012,PRIMARY DECK,8,woodward1
WRIGHT #1,,0.07,11/1/2007,PRIMARY DECK,45,wright1
WYSCARVER #1,,0.0562955,2/1/2010,PRIMARY DECK,3,wyscarver1
YORK 2,,0.1,12/31/2009,PRIMARY DECK,26,york2
ZAJICEK #1,,0.103846,7/6/2007,PRIMARY DECK,11,zajicek1
ZAVSEIS,,0.0637435,3/26/2025,PRIMARY,70,zavseis
